深圳孵化二组 ZVP 项目组周报收集，2026/3/11，，，
汇报项目，汇报类别，上周工作内容，本周工作内容
ZVP 项目，制作人总结，暂无，暂无
ZVP 项目，程序，"1. 【战争迷雾】初版本制作
2. 【抽卡】抽卡预览逻辑分离新的脚本 + 宠物模型预览显示 + 延迟显示宠物获取逻辑修改
3. 【特殊日常】代码提交
4. 【宠物】上阵宠物详情界面增加宠物上阵按钮，按钮点击后跳转到上阵界面
5. buff 球功能
6. 屏蔽摇杆移动
7. buff 球功能修改
8. 特殊日常副本功能
9. 副本刷多波怪
10. 设置职业功能
11. 新视角森林地图调整
12. 沙漠地图适配配置
13. 新增小怪关按关掉落，不受能量使用倍数影响
14. 30 日签到日常活动实现
15. 3v3 竞技场功能先屏蔽掉，备份提交
16. 跟进各系统验收 bug 持续进行中
17. 加入客户端曲线子弹表现，支持上，左，右曲线等配置
18. 屏蔽自由视角，加入顶视角逻辑和 boss 场景视角相关
19. 新增常驻玩家攻击范围圈，主角攻击状态（红圈白圈表示）,目标脚下小红圈
20. 战斗中可拾取道具系统和屏蔽手操移动相关逻辑
21. 战斗主角目标的脚下生成特效
22. 加入预警特效和相关技能（进行中）","1. 战斗：血条残留；切地图问题；战争迷雾范围处理和 bug 修复；增加矩形预警圈和相关逻辑；修复场地道具导致的攻击 ai 问题；增加拾取场地道具时角色头上气泡展示文字；跟进 boss 的对地技能铺开和实现
2. 宠物：调整宠物进化时，奖励提示的弹出时间
3. 抽奖：增加奖池等级，和抽奖次数挂钩，同步展示各等级预览
4. 综合：跟进 306 版本其他需求
5. 战斗：新增对地型技能和抛物线弹道；处理频繁进出战斗状态的影响，区分战斗和副本逻辑；场地道具基本效果实现，完成一种加 buff 道具（重置普攻 cd），跟进表现和优化；跟进技能预警圈实现、镜头调整及其他 306 版本战斗相关优化小需求
6. 宠物：跟进宠物升级功能优化
7. 图鉴：修复闪光宠物图鉴没有故事的 bug
8. 抽奖：优化界面和表现，删除普通抽
9. 【宠物进化】在结束进化以后，才弹窗进化获得的奖励 tips
10. 【战争迷雾】创角期间隐藏掉；BOSS 场景处理；阴影面片额外扩宽；导出地图数据，迷雾容错逻辑添加；宠物视角范围读取配置 + 阴影颜色读取配置 + 修复抓宠和模拟经营视角阴影显示问题；脚步音效报错修复；逻辑错误修改 + 数据上传还原逻辑；森林地图相机剔除 mask 添加战争迷雾；上报后端数据代码提交；优化性能版本
11. 【抽卡卡池】卡池预览需求修改
12. 【抽卡】抽卡预览逻辑分离新的脚本 + 宠物模型预览显示 + 延迟显示宠物获取逻辑修改
13. 【特殊日常】代码提交
14. 【宠物】上阵宠物详情界面增加宠物上阵按钮，按钮点击后跳转到上阵界面
15. 配合前端添加 buff 球效果接口，配合前端子弹添加 effect 接口
16. 添加副本组解锁 gm
17. 项目添加版本号，用以更新清理解锁功能的条件
18. 移动修改
19. 了解搜打撤关卡需求，关卡流程完成 10%
20. 抽卡增加根据 BOSS 关生产控制条件 100%
21. 模拟经营离线挂机奖励增加宠物工作效率加成 100%
22. 系统邮件发送提供空格支持 100%
23. 种田简化为上阵居民 + 时间收益新界面 100%
24. 抽卡重构 100%
25. 抽卡等级和控制实现 100%
26. 宠物进化奖励发奖修改 100%
27. 跟进各系统验收 bug 持续进行中
28. 对地的子弹逻辑，弧形子弹优化，对地预警特效，角色移动
29. 创角界面加入 3D 角色和旋转，枪械动态加载，角色信息展示
30. 创角的界面女角色头发和枪械渲染问题，灯光过暗问题
31. 创角界面枪械的默认显示和显示主角当前拥有的武器
32. 没创角之前就开始战斗，会把第一波的怪物清掉跟进，创角状态保存，断线等重弹
33. 主线切换场景战斗逻辑功能调整，主线 UI 相关功能
34. 模拟经营所有建筑改成离线奖励功能，表数据更改，之前的功能部分更改和屏蔽（暂不可恢复）
35. 模拟经营总效率添加和快捷上阵功能，宠物上阵位置错误优化，加入了奖励红点
36. 模拟经营下阵后的宠物无法再上阵，报错""ErrorCode"":5279 跟进
37. 模拟经营数据层的上阵宠物不做动态排序，根据槽位来区分位置，添加选中和上阵状态标识
38. 主线切换 boss 场景和切换主线的冲突问题，服务器做记录当前的关卡点跟进
39. 接口 MsgCL2GSAppointRequest 上阵接口做了限制，没有分组支持全部宠物（bug)
40. 接口 MsgGS2CLDownAppointReply 返回 yummi_uid错误跟进
41. 离线数据显示，奖励没实时同步，时钟显示错误问题（buildLevel>product_rewards 配置）
42. 获得场景道具 BuffBall 弹框（同时出现则追加到文本后面到并重置时间，最多两条）
43. 场景切换灯光加上配置控制
44. 字符串 16 进制添加，GM 接口调整"
ZVP 项目，策划，"1. 新版本方向内容的讨论（持续）
2. 探索副本难度与刷怪类型调整（100%）
3. 宠物初始品质固定（100%）
4. 30 日签到奖励设计与配置（100%）
5. 新型日常副本的相关数值设计与配置（100%）
6. 宠物抽卡奖池逐步解锁相关数值设计与配置（100%）
7. 306 版本的数值体验细节优化（100%）
